Timestamp,Price,stock_volume,amount_volume
1990/12/19,99.98,1260,494000
1990/12/20,104.39,197,84000
1990/12/21,109.13,28,16000
1990/12/24,114.55,32,31000
1990/12/25,120.25,15,6000
1990/12/26,125.27,100,53000
1990/12/27,125.28,66,104000
1990/12/28,126.45,108,88000
1990/12/31,127.61,78,60000
1991/1/2,128.84,91,59000
1991/1/3,130.14,141,93000
1991/1/4,131.44,420,261000
1991/1/7,132.06,217,141000
1991/1/8,132.68,2926,1806000
1991/1/9,133.34,5603,3228000
1991/1/10,133.97,9990,5399000
1991/1/11,134.6,13327,7115000
1991/1/14,134.67,12530,6883000
1991/1/15,134.74,1446,1010000
1991/1/16,134.24,509,270000
1991/1/17,134.25,658,334000
1991/1/18,134.24,3004,1570000
1991/1/21,134.24,2051,1029000
1991/1/22,133.72,354,180000
1991/1/23,133.17,1095,575000
1991/1/24,132.61,1857,917000
1991/1/25,132.05,3447,1722000
1991/1/28,131.46,5107,2565000
1991/1/29,130.95,1387,710000
1991/1/30,130.44,527,260000
1991/1/31,129.97,510,244000
1991/2/1,129.51,345,140000
1991/2/4,129.05,553,273000
1991/2/5,128.58,8562,4250000
1991/2/6,129.14,6641,3847000
1991/2/7,129.79,2133,1504000
1991/2/8,130.38,1234,879000
1991/2/11,130.97,9317,4834000
1991/2/12,131.35,3774,1986000
1991/2/13,131.92,1152,673000
1991/2/14,132.53,3624,1883000
1991/2/19,133.13,1748,1216000
1991/2/20,133.67,876,520000
1991/2/21,134.28,3220,1771000
1991/2/22,134.87,3427,2003000
1991/2/25,134.4,810,621000
1991/2/26,133.93,1094,2545000
1991/2/27,133.47,214,141000
1991/2/28,133.01,2258,1187000
1991/3/1,132.53,7124,3777000
1991/3/4,131.99,2518,1418000
1991/3/5,131.46,982,934000
1991/3/6,130.94,719,1345000
1991/3/7,130.41,568,427000
1991/3/8,129.89,933,541000
1991/3/11,129.31,514,299000
1991/3/12,128.77,957,783000
1991/3/13,126.15,498,418000
1991/3/14,125.63,326,242000
1991/3/15,125.17,790,403000
1991/3/18,124.71,1250,1210000
1991/3/19,124.22,892,682000
1991/3/20,123.66,678,433000
1991/3/21,123.12,151,131000
1991/3/22,122.62,207,120000
1991/3/25,122.12,443,324000
1991/3/26,121.62,1164,709000
1991/3/27,121.12,668,366000
1991/3/28,120.61,961,505000
1991/3/29,120.19,2185,2186000
1991/4/1,120.73,11999,5666000
1991/4/2,121.21,816,387000
1991/4/3,121.71,2063,977000
1991/4/4,121.72,10517,5045000
1991/4/5,121.54,11589,6035000
1991/4/8,121.09,1862,1675000
1991/4/9,120.62,320,297000
1991/4/10,120.16,466,281000
1991/4/11,119.64,239,576000
1991/4/12,119.21,399,301000
1991/4/15,118.77,301,386000
1991/4/16,118.34,105,177000
1991/4/17,117.9,201,259000
1991/4/18,117.45,178,133000
1991/4/19,117.08,646,424000
1991/4/22,116.63,430,321000
1991/4/23,116.19,282,264000
1991/4/24,115.79,148,121000
1991/4/25,115.36,1495,998000
1991/4/26,115.56,13354,5806000
1991/4/29,114.75,8411,3610000
1991/4/30,113.94,4850,2734000
1991/5/2,113.16,1465,1124000
1991/5/3,112.41,4230,2386000
1991/5/6,111.61,2764,1423000
1991/5/7,110.82,1875,907000
1991/5/8,110.03,423,375000
1991/5/9,109.29,2266,None
1991/5/10,108.53,249,313000
1991/5/13,107.84,235,182000
1991/5/14,107.19,267,185000
1991/5/15,106.57,390,307000
1991/5/16,105.77,3108,1445000
1991/5/17,106.75,20192,7633000
1991/5/20,107.82,863,924000
1991/5/21,108.81,771,1309000
1991/5/22,108.25,18677,7967000
1991/5/23,109.08,5609,2770000
1991/5/24,110.08,1024,661000
1991/5/27,110.66,8619,3827000
1991/5/28,111.68,1630,970000
1991/5/29,112.75,530,1320000
1991/5/30,113.82,388,753000
1991/5/31,114.83,1211,1470000
1991/6/3,115.97,954,1643000
1991/6/4,117.12,3603,2018000
1991/6/5,118.17,308,279000
1991/6/6,119.35,266,160000
1991/6/7,120.47,100,83000
1991/6/10,121.67,400,458000
1991/6/11,122.89,543,375000
1991/6/12,124.11,1372,735000
1991/6/13,125.34,20868,11563000
1991/6/14,124.53,6633,3541000
1991/6/17,125.77,6933,4056000
1991/6/18,127.03,2030,1015000
1991/6/19,128.29,1481,744000
1991/6/20,129.57,2299,1321000
1991/6/21,130.86,13613,7746000
1991/6/24,132.17,1960,1657000
1991/6/25,133.49,1624,1296000
1991/6/26,134.83,3409,2149000
1991/6/27,136.19,4497,2521000
1991/6/28,137.56,4935,3032000
1991/7/1,136.85,22940,12469000
1991/7/2,135.96,2838,3794000
1991/7/3,135.27,2715,1818000
1991/7/4,136.63,13394,8095000
1991/7/5,135.96,14540,9394000
1991/7/8,135.28,5874,2925000
1991/7/9,134.64,8442,4174000
1991/7/10,133.99,6023,2894000
1991/7/11,133.38,5073,2417000
1991/7/12,132.8,3144,1484000
1991/7/15,133.14,11938,5534000
1991/7/16,134.47,2796,1328000
1991/7/17,135.81,660,397000
1991/7/18,137.17,847,464000
1991/7/19,136.7,10823,5242000
1991/7/22,138.07,2764,1423000
1991/7/23,139.39,7241,3548000
1991/7/24,140.68,5988,2901000
1991/7/25,140.19,8390,4080000
1991/7/26,140.66,9279,4520000
1991/7/29,141.52,4771,2350000
1991/7/30,142.39,5601,2718000
1991/7/31,143.8,4051,1993000
1991/8/1,145.24,4731,2310000
1991/8/2,146.68,11744,5825000
1991/8/5,148.15,5126,2593000
1991/8/6,149.62,2001,1065000
1991/8/7,151.12,1107,580000
1991/8/8,152.61,1951,1045000
1991/8/9,154.1,3715,1990000
1991/8/12,155.54,3919,2154000
1991/8/13,157.07,20039,10529000
1991/8/14,158.63,5480,2929000
1991/8/15,160.21,1537,850000
