confirmedCount,country,curedCount,currentConfirmedCount,deadCount,suspectedCount,updateTime
80567,中国,52144,25407,3016,522,2020-03-05
80424,中国,50010,27430,2984,520,2020-03-04
80303,中国,47434,29921,2948,587,2020-03-03
80175,中国,44845,32415,2915,715,2020-03-02
79972,中国,42162,34937,2873,851,2020-03-01
79394,中国,39308,37248,2838,1418,2020-02-29
78962,中国,36312,39859,2791,2308,2020-02-28
78631,中国,32916,42968,2747,2358,2020-02-27
78195,中国,30078,45399,2718,2491,2020-02-26
77785,中国,27655,47464,2666,2824,2020-02-25
77269,中国,25007,49666,2596,3434,2020-02-24
77048,中国,23183,51420,2445,4148,2020-02-23
76396,中国,21075,52973,2348,5365,2020-02-22
75571,中国,18687,54645,2239,5206,2020-02-21
74680,中国,16721,55837,2122,4922,2020-02-20
74284,中国,14938,57337,2009,5248,2020-02-19
72532,中国,13003,57657,1872,6242,2020-02-18
70644,中国,11278,57594,1772,7264,2020-02-17
68595,中国,9763,57165,1667,8228,2020-02-16
66581,中国,8494,56563,1524,8969,2020-02-15
63950,中国,7092,55476,1382,10109,2020-02-14
59907,中国,6215,52324,1368,13435,2020-02-13
44765,中国,5066,0,1116,16067,2020-02-12
42747,中国,4301,0,1017,21675,2020-02-11
40262,中国,3551,0,909,23589,2020-02-10
37289,中国,2900,0,813,28942,2020-02-09
34673,中国,2375,0,724,27657,2020-02-08
31264,中国,1753,0,637,26359,2020-02-07
28138,中国,1373,0,564,24702,2020-02-06
24434,中国,1018,0,493,23260,2020-02-05
20530,中国,718,0,426,23214,2020-02-04
17341,中国,527,0,361,21558,2020-02-03
14490,中国,434,0,304,19544,2020-02-02
11901,中国,275,0,259,17988,2020-02-01
9811,中国,214,0,213,15238,2020-01-31
8149,中国,135,0,171,12167,2020-01-30
6095,中国,119,0,133,9239,2020-01-29
4630,中国,73,0,106,6973,2020-01-28
2857,中国,56,0,82,5794,2020-01-27
2076,中国,49,0,56,2692,2020-01-26
1408,中国,39,0,42,2032,2020-01-25
897,中国,36,0,26,1076,2020-01-24
1,斯里兰卡,1,0,0,0,2020-03-05
1,斯里兰卡,1,0,0,0,2020-03-03
1,斯里兰卡,1,0,0,0,2020-03-02
1,斯里兰卡,1,0,0,0,2020-03-01
